name,ra,dec,r_deg,oid,nobs,meanra,meandec,deltajd,lastmjd,firstmjd
WISEAJ175530.00+301326.0,268.87507999999997,30.22383,0.013888888888888888,ZTF20abxgxjd,42,268.876316985714,30.2222429166667,46.9272801000989,59137.1121991002,59090.1849190001
KUG0303-003,46.45086,-0.17677,0.013888888888888888,ZTF19aagynyt,1,46.4453939,-0.1886185,0.0,58514.1474652998,58514.1474652998
KUG0303-003,46.45086,-0.17677,0.013888888888888888,ZTF18acfwtjw,1,46.4470544,-0.1894742,0.0,58431.2379398001,58431.2379398001
IC2974,178.45304,-5.16783,0.013888888888888888,ZTF20acounxo,5,178.4610296,-5.17145866,7.0785995000042,59180.5622800998,59173.4836805998
WISEAJ034717.72-082702.9,56.82375,-8.45089,0.013888888888888888,ZTF18acckgdl,1,56.810991,-8.4484387,0.0,58425.3328125002,58425.3328125002
WISEAJ034717.72-082702.9,56.82375,-8.45089,0.013888888888888888,ZTF19acchjhf,5,56.82380424,-8.4508628,409.954629700202,59169.3309028,58759.3762730998
WISEAJ034717.72-082702.9,56.82375,-8.45089,0.013888888888888888,ZTF20actekrw,3,56.8255892,-8.45175823333333,2.02091440040385,59178.3182176002,59176.2973031998
CGCG064-083,152.50105,11.91656,0.013888888888888888,ZTF19acxpwlq,1,152.4933525,11.9181231,0.0,58827.5459722001,58827.5459722001
CGCG064-083,152.50105,11.91656,0.013888888888888888,ZTF20actkmks,3,152.504300166667,11.9161549,2.97208340000361,59179.4635879998,59176.4915045998
MCG-01-30-038,177.65333,-7.607939999999999,0.013888888888888888,ZTF19aanwkpn,1,177.6468222,-7.6005006,0.0,58573.2550579002,58573.2550579002
MCG-01-30-038,177.65333,-7.607939999999999,0.013888888888888888,ZTF19aapecmv,1,177.6594791,-7.5987589,0.0,58581.2524652998,58581.2524652998
MCG-01-30-038,177.65333,-7.607939999999999,0.013888888888888888,ZTF20aaocjds,1,177.660391,-7.6053114,0.0,58895.4193981001,58895.4193981001
MCG-01-30-038,177.65333,-7.607939999999999,0.013888888888888888,ZTF20actqtfk,2,177.65186505,-7.60634595,1.98418990010396,59178.5043519,59176.5201619999
